name,year founded,industry,size range,locality,country,current employee estimate
best buy,1966.0,retail,10001+,"richfield, minnesota, united states",united states,29568
american airlines,1930.0,airlines/aviation,10001+,"fort worth, texas, united states",united states,29498
baker hughes,,oil & energy,10001+,"houston, texas, united states",united states,29481
the coca-cola company,1892.0,food & beverages,10001+,"atlanta, georgia, united states",united states,29278
genpact,1997.0,information technology and services,10001+,"new york, new york, united states",united states,29262
jll,,commercial real estate,10001+,"chicago, illinois, united states",united states,29101
u.s. bank,,banking,10001+,"minneapolis, minnesota, united states",united states,28763
pnc,2014.0,financial services,10001+,"pittsburgh, pennsylvania, united states",united states,28132
sprint,1899.0,telecommunications,10001+,"overland park, kansas, united states",united states,28008
airbus,2014.0,aviation & aerospace,10001+,"arlington, virginia, united states",united states,27548
capital one,1994.0,financial services,10001+,"mclean, virginia, united states",united states,27522
delta air lines,1928.0,airlines/aviation,10001+,"atlanta, georgia, united states",united states,27331
merrill lynch,1914.0,financial services,10001+,"new york, new york, united states",united states,27206
mondelēz international,1903.0,food production,10001+,"deerfield, illinois, united states",united states,27152
farmers insurance,1928.0,insurance,10001+,"los angeles, california, united states",united states,26029
aecom,1990.0,civil engineering,10001+,"los angeles, california, united states",united states,26008
united states department of defense,1947.0,military,10001+,"washington, district of columbia, united states",united states,26000
metlife,1868.0,insurance,10001+,"new york, new york, united states",united states,25967
total,1924.0,oil & energy,10001+,"san diego, california, united states",united states,25780
cargill,1865.0,food production,10001+,"wayzata, minnesota, united states",united states,25321
united airlines,1926.0,airlines/aviation,10001+,"chicago, illinois, united states",united states,24967
mary kay inc.,1963.0,cosmetics,10001+,"addison, texas, united states",united states,24699
liberty mutual insurance,1912.0,insurance,10001+,"boston, massachusetts, united states",united states,24623
comcast,1963.0,media production,10001+,"philadelphia, pennsylvania, united states",united states,24515
caterpillar inc.,1925.0,machinery,10001+,"peoria heights, illinois, united states",united states,24304
jacobs,1947.0,construction,10001+,"pasadena, california, united states",united states,24241
bny mellon,,financial services,10001+,"new york, new york, united states",united states,24183
raytheon,1922.0,defense & space,10001+,"waltham, massachusetts, united states",united states,23733
eli lilly and company,1876.0,pharmaceuticals,10001+,"indianapolis, indiana, united states",united states,23297
hp,,information technology and services,10001+,"palo alto, california, united states",united states,23294
uber,2009.0,internet,10001+,"san francisco, california, united states",united states,22415
kroger,1883.0,retail,10001+,"cincinnati, ohio, united states",united states,22257
thermo fisher scientific,1956.0,research,10001+,"waltham, massachusetts, united states",united states,22025
aig,1919.0,insurance,10001+,"new york, new york, united states",united states,21673
novo nordisk,1923.0,pharmaceuticals,10001+,"plainsboro, new jersey, united states",united states,21638
h&r block,1955.0,retail,10001+,"kansas city, missouri, united states",united states,21410
social security administration,1935.0,government administration,10001+,"baltimore, maryland, united states",united states,21150
costco wholesale,1983.0,retail,10001+,"issaquah, washington, united states",united states,21030
thales,2015.0,defense & space,10001+,"alexandria, virginia, united states",united states,20983
convergys,1998.0,outsourcing/offshoring,10001+,"cincinnati, ohio, united states",united states,20979
iqvia,2016.0,hospital & health care,10001+,"danbury, connecticut, united states",united states,20957
salesforce,1999.0,internet,10001+,"san francisco, california, united states",united states,20885
the dow chemical company,1897.0,chemicals,10001+,"midland, michigan, united states",united states,20706
hilton worldwide,1919.0,hospitality,10001+,"mclean, virginia, united states",united states,20578
los angeles unified school district,1853.0,education management,10001+,"los angeles, california, united states",united states,20404
army national guard,,military,10001+,"arlington, virginia, united states",united states,20390
nordstrom,1901.0,retail,10001+,"seattle, washington, united states",united states,20376
lifespan,1994.0,hospital & health care,10001+,"providence, rhode island, united states",united states,20341
fedex,1973.0,package/freight delivery,10001+,"memphis, tennessee, united states",united states,20317
