name,year founded,industry,size range,locality,country,current employee estimate
northwell health,1997.0,hospital & health care,10001+,"lake success, new york, united states",united states,9866
hyatt hotels corporation,1957.0,hospitality,10001+,"chicago, illinois, united states",united states,9863
"alcon, a novartis company",1945.0,pharmaceuticals,10001+,"fort worth, texas, united states",united states,9861
bechtel corporation,1898.0,construction,10001+,"san francisco, california, united states",united states,9846
pacific gas and electric company,,utilities,10001+,"san francisco, california, united states",united states,9807
ingram micro,1979.0,information technology and services,10001+,"irvine, california, united states",united states,9705
nxp semiconductors,2006.0,semiconductors,10001+,"brabant, west virginia, united states",united states,9686
emerson,1890.0,mechanical or industrial engineering,10001+,"st. louis, missouri, united states",united states,9663
dollar general,1939.0,retail,10001+,"goodlettsville, tennessee, united states",united states,9633
cornell university,,higher education,10001+,"ithaca, new york, united states",united states,9628
msd,,pharmaceuticals,10001+,"kenilworth, new jersey, united states",united states,9583
aurora health care,,hospital & health care,10001+,"milwaukee, wisconsin, united states",united states,9582
panera bread,1981.0,restaurants,10001+,"st. louis, missouri, united states",united states,9563
massachusetts institute of technology (mit),1861.0,higher education,10001+,"cambridge, massachusetts, united states",united states,9539
sutter health,,hospital & health care,10001+,"sacramento, california, united states",united states,9531
miami-dade county public schools,1885.0,education management,10001+,"miami, florida, united states",united states,9456
citizens bank,1828.0,banking,10001+,"providence, rhode island, united states",united states,9435
university of maryland,1856.0,higher education,10001+,"college park, maryland, united states",united states,9384
"expedia, inc.",1996.0,internet,10001+,"bellevue, washington, united states",united states,9371
"kbr, inc.",1919.0,construction,10001+,"houston, texas, united states",united states,9338
arbonne international llc,1975.0,consumer goods,10001+,"irvine, california, united states",united states,9329
undp,1974.0,international affairs,10001+,"new york, new york, united states",united states,9326
sitel,1985.0,outsourcing/offshoring,10001+,"nashville, tennessee, united states",united states,9321
infor,2003.0,computer software,10001+,"new york, new york, united states",united states,9308
"university of california, san diego",1960.0,higher education,10001+,"la jolla, california, united states",united states,9291
ucsf,1873.0,research,10001+,"san francisco, california, united states",united states,9289
domino's pizza,1960.0,restaurants,10001+,"ann arbor, michigan, united states",united states,9265
state farm agent,1922.0,insurance,10001+,"bloomington, illinois, united states",united states,9255
gartner,1979.0,information technology and services,10001+,"stamford, connecticut, united states",united states,9249
parexel,1982.0,pharmaceuticals,10001+,"waltham, massachusetts, united states",united states,9231
micron technology,1978.0,semiconductors,10001+,"boise, idaho, united states",united states,9192
ca technologies,1976.0,computer software,10001+,"new york, new york, united states",united states,9187
the estée lauder companies inc.,1946.0,cosmetics,10001+,"new york, new york, united states",united states,9187
seagate technology,1979.0,computer hardware,10001+,"cupertino, california, united states",united states,9150
ricoh americas corporation,1962.0,information technology and services,10001+,"malvern, pennsylvania, united states",united states,9121
university of pittsburgh,,higher education,10001+,"pittsburgh, pennsylvania, united states",united states,9072
md anderson cancer center,1944.0,hospital & health care,10001+,"houston, texas, united states",united states,9064
sanmina,1980.0,electrical/electronic manufacturing,10001+,"san jose, california, united states",united states,9026
uc davis,1908.0,higher education,10001+,"davis, california, united states",united states,9005
atento,1999.0,telecommunications,10001+,"madrid, madrid, spain",united states,8980
rsm us llp,1926.0,accounting,10001+,"chicago, illinois, united states",united states,8966
state of michigan,1837.0,government administration,10001+,"lansing, michigan, united states",united states,8963
verizon business,1988.0,information technology and services,10001+,"basking ridge, new jersey, united states",united states,8942
pratt & whitney,1925.0,aviation & aerospace,10001+,"east hartford, connecticut, united states",united states,8924
us air force reserve,1948.0,military,10001+,"tinker afb, oklahoma, united states",united states,8903
intermountain healthcare,1975.0,hospital & health care,10001+,"murray, utah, united states",united states,8900
the kraft heinz company,2015.0,food & beverages,10001+,"pittsburgh, pennsylvania, united states",united states,8898
cb&i,1889.0,oil & energy,10001+,"the woodlands, texas, united states",united states,8878
usda,1862.0,government administration,10001+,"washington, district of columbia, united states",united states,8873
national institutes of health,1887.0,research,10001+,"bethesda, maryland, united states",united states,8782
kindred healthcare,1985.0,hospital & health care,10001+,"louisville, kentucky, united states",united states,8775
home instead senior care,1994.0,individual & family services,10001+,"omaha, nebraska, united states",united states,8759
tyson foods,1935.0,food production,10001+,"springdale, arkansas, united states",united states,8747
clark county school district,1956.0,education management,10001+,"las vegas, nevada, united states",united states,8744
meb,1998.0,real estate,10001+,"tucson, arizona, united states",united states,8648
concentrix,1983.0,outsourcing/offshoring,10001+,"fremont, california, united states",united states,8642
paychex,1971.0,human resources,10001+,"rochester, new york, united states",united states,8631
union pacific railroad,1862.0,transportation/trucking/railroad,10001+,"omaha, nebraska, united states",united states,8619
gap inc.,1969.0,retail,10001+,"san francisco, california, united states",united states,8610
sysco,1970.0,food & beverages,10001+,"houston, texas, united states",united states,8585
grainger,1927.0,business supplies and equipment,10001+,"lake forest, illinois, united states",united states,8556
colliers international,1976.0,commercial real estate,10001+,"seattle, washington, united states",united states,8528
indiana university bloomington,1820.0,higher education,10001+,"bloomington, indiana, united states",united states,8505
urs corporation,,civil engineering,10001+,"san francisco, california, united states",united states,8498
carolinas healthcare system,1943.0,hospital & health care,10001+,"charlotte, north carolina, united states",united states,8497
motorola solutions,1928.0,information technology and services,10001+,"schaumburg, illinois, united states",united states,8474
petsmart,1987.0,retail,10001+,"phoenix, arizona, united states",united states,8461
memorial sloan kettering cancer center,1884.0,hospital & health care,10001+,"new york, new york, united states",united states,8449
zimmer biomet,1927.0,medical devices,10001+,"warsaw, indiana, united states",united states,8433
netapp,1992.0,information technology and services,10001+,"sunnyvale, california, united states",united states,8412
university of illinois at chicago,1965.0,higher education,10001+,"chicago, illinois, united states",united states,8407
avaya,2000.0,telecommunications,10001+,"santa clara, california, united states",united states,8405
beaumont health system,,hospital & health care,10001+,"royal oak, michigan, united states",united states,8342
c.h. robinson,1905.0,logistics and supply chain,10001+,"eden prairie, minnesota, united states",united states,8301
bnsf railway,,transportation/trucking/railroad,10001+,"fort worth, texas, united states",united states,8261
university of north carolina at chapel hill,,higher education,10001+,"chapel hill, north carolina, united states",united states,8258
us foods,,food & beverages,10001+,"rosemont, illinois, united states",united states,8257
u.s. department of justice,,law practice,10001+,"washington, district of columbia, united states",united states,8248
houston isd,1879.0,education management,10001+,"houston, texas, united states",united states,8239
"the tjx companies, inc.",1956.0,retail,10001+,"framingham, massachusetts, united states",united states,8237
northwestern university,1851.0,higher education,10001+,"evanston, illinois, united states",united states,8214
harris corporation,1895.0,defense & space,10001+,"melbourne, florida, united states",united states,8213
utc aerospace systems,2012.0,aviation & aerospace,10001+,"charlotte, north carolina, united states",united states,8209
express scripts,1986.0,hospital & health care,10001+,"st. louis, missouri, united states",united states,8194
infineon technologies,1999.0,semiconductors,10001+,"neubiberg, bayern, germany",united states,8178
caci international inc,1962.0,information technology and services,10001+,"arlington, virginia, united states",united states,8174
hertz,1918.0,"leisure, travel & tourism",10001+,"naples, florida, united states",united states,8172
adt,1874.0,security and investigations,10001+,"boca raton, florida, united states",united states,8150
"the ritz-carlton hotel company, l.l.c.",1983.0,hospitality,10001+,"orlando, florida, united states",united states,8134
robert half,1948.0,staffing and recruiting,10001+,"menlo park, california, united states",united states,8118
nyu langone medical center,1841.0,hospital & health care,10001+,"new york, new york, united states",united states,8110
mercy,1986.0,hospital & health care,10001+,"chesterfield, missouri, united states",united states,8102
the university of arizona,1890.0,higher education,10001+,"tucson, arizona, united states",united states,8096
university of south florida,1956.0,higher education,10001+,"tampa, florida, united states",united states,8087
colorado state university,1870.0,higher education,10001+,"fort collins, colorado, united states",united states,8072
cox communications,1984.0,broadcast media,10001+,"atlanta, georgia, united states",united states,8064
young living essential oils,1993.0,"health, wellness and fitness",10001+,"lehi, utah, united states",united states,8060
"royal caribbean cruises, ltd.",1968.0,"leisure, travel & tourism",10001+,"miami, florida, united states",united states,8059
north carolina state university,1887.0,higher education,10001+,"raleigh, north carolina, united states",united states,8052
diebold nixdorf,1859.0,financial services,10001+,"north canton, ohio, united states",united states,8048
university of cincinnati,1819.0,higher education,10001+,"cincinnati, ohio, united states",united states,8034
fda,1906.0,government administration,10001+,"silver spring, maryland, united states",united states,8032
ust global,1999.0,information technology and services,10001+,"aliso viejo, california, united states",united states,8010
ge oil & gas,,oil & energy,10001+,"houston, texas, united states",united states,8009
deloitte consulting,,management consulting,10001+,"new york, new york, united states",united states,8005
ntt data services,1965.0,information technology and services,10001+,"plano, texas, united states",united states,7998
taco bell,,restaurants,10001+,"irvine, california, united states",united states,7989
georgia-pacific llc,1927.0,paper & forest products,10001+,"atlanta, georgia, united states",united states,7971
igate,1978.0,information technology and services,10001+,"bridgewater, new jersey, united states",united states,7954
"stanley black & decker, inc.",1843.0,consumer goods,10001+,"new britain, connecticut, united states",united states,7949
spectrum health,1997.0,hospital & health care,10001+,"grand rapids, michigan, united states",united states,7929
arthur j. gallagher & co.,1927.0,insurance,10001+,"rolling meadows, illinois, united states",united states,7898
new york-presbyterian hospital,,hospital & health care,10001+,"new york, new york, united states",united states,7890
raymond james,1962.0,financial services,10001+,"st. petersburg, florida, united states",united states,7871
florida hospital,1908.0,hospital & health care,10001+,"orlando, florida, united states",united states,7866
pra health sciences,1976.0,research,10001+,"raleigh, north carolina, united states",united states,7854
it works global,2001.0,"health, wellness and fitness",10001+,"palmetto, florida, united states",united states,7854
meijer,1934.0,retail,10001+,"grand rapids, michigan, united states",united states,7845
labcorp,,hospital & health care,10001+,"burlington, north carolina, united states",united states,7835
ups supply chain solutions,1907.0,logistics and supply chain,10001+,"cobb, georgia, united states",united states,7793
aricent,2006.0,outsourcing/offshoring,10001+,"redwood city, california, united states",united states,7769
duke university,,higher education,10001+,"durham, north carolina, united states",united states,7768
heb,1905.0,retail,10001+,"san antonio, texas, united states",united states,7767
parsons corporation,1944.0,civil engineering,10001+,"pasadena, california, united states",united states,7762
keybank,1849.0,banking,10001+,"cleveland, ohio, united states",united states,7753
experian,1980.0,information services,10001+,"costa mesa, california, united states",united states,7751
dominion,,utilities,10001+,"richmond, virginia, united states",united states,7751
dyncorp international,1951.0,defense & space,10001+,"mclean, virginia, united states",united states,7733
massmutual financial group,1851.0,financial services,10001+,"springfield, massachusetts, united states",united states,7732
cameron,1833.0,oil & energy,10001+,"houston, texas, united states",united states,7727
dignity health,,hospital & health care,10001+,"san francisco, california, united states",united states,7715
ralph lauren,1968.0,apparel & fashion,10001+,"new york, new york, united states",united states,7699
"penn medicine, university of pennsylvania health system",,hospital & health care,10001+,"philadelphia, pennsylvania, united states",united states,7677
maxim healthcare services,1988.0,hospital & health care,10001+,"columbia, maryland, united states",united states,7662
nerium international,2011.0,cosmetics,10001+,"addison, texas, united states",united states,7648
red hat,1993.0,computer software,10001+,"raleigh, north carolina, united states",united states,7609
georgia institute of technology,1888.0,higher education,10001+,"atlanta, georgia, united states",united states,7572
electronic arts (ea),1982.0,entertainment,10001+,"redwood city, california, united states",united states,7561
earthlink,1994.0,information technology and services,10001+,"atlanta, georgia, united states",united states,7552
orange county public schools,,primary/secondary education,10001+,"orlando, florida, united states",united states,7543
johns hopkins university,1876.0,higher education,10001+,"baltimore, maryland, united states",united states,7529
"ross stores, inc.",1957.0,retail,10001+,"dublin, california, united states",united states,7522
department of education,1980.0,government administration,10001+,"washington, district of columbia, united states",united states,7476
pitney bowes,1920.0,information technology and services,10001+,"stamford, connecticut, united states",united states,7464
china mobile,1997.0,telecommunications,10001+,"los angeles, california, united states",united states,7464
