name,domain,year founded,industry,size range,locality,country
upmc,upmc.com,1986.0,hospital & health care,10001+,"pittsburgh, pennsylvania, united states",united states
american family insurance,amfam.com,1927.0,insurance,10001+,"madison, wisconsin, united states",united states
aerotek,aerotek.com,1983.0,staffing and recruiting,10001+,"hanover, maryland, united states",united states
m&t bank,mtb.com,1856.0,financial services,10001+,"buffalo, new york, united states",united states
visa,visa.com,1958.0,information technology and services,10001+,"san francisco, california, united states",united states
marsh,marsh.com,,insurance,10001+,"new york, new york, united states",united states
cintas,cintas.com,1968.0,facilities services,10001+,"cincinnati, ohio, united states",united states
centers for disease control and prevention,cdc.gov,1946.0,government administration,10001+,"atlanta, georgia, united states",united states
applied materials,appliedmaterials.com,1967.0,semiconductors,10001+,"santa clara, california, united states",united states
ebay,ebayinc.com,1995.0,internet,10001+,"san jose, california, united states",united states
first data corporation,firstdata.com,1971.0,financial services,10001+,"atlanta, georgia, united states",united states
charles schwab,schwab.com,1973.0,financial services,10001+,"san francisco, california, united states",united states
parker hannifin,parker.com,1918.0,mechanical or industrial engineering,10001+,"cleveland, ohio, united states",united states
advocare,advocare.com,1993.0,"health, wellness and fitness",10001+,"plano, texas, united states",united states
the world bank,worldbank.org,1944.0,international trade and development,10001+,"washington, district of columbia, united states",united states
fairfax county public schools,fcps.edu,,primary/secondary education,10001+,"falls church, virginia, united states",united states
procter & gamble,,1837.0,consumer goods,10001+,"cincinnati, ohio, united states",united states
us forest service,fs.fed.us,1905.0,government administration,10001+,"washington, district of columbia, united states",united states
victoria's secret,victoriassecret.com,1977.0,retail,10001+,"reynoldsburg, ohio, united states",united states
mastercard,mastercard.com,1966.0,information technology and services,10001+,"purchase, new york, united states",united states
waste management,wm.com,1894.0,environmental services,10001+,"houston, texas, united states",united states
massachusetts general hospital,massgeneral.org,1811.0,hospital & health care,10001+,"boston, massachusetts, united states",united states
world vision,wvi.org,1950.0,non-profit organization management,10001+,"monrovia, california, united states",united states
syntel,syntelinc.com,1980.0,information technology and services,10001+,"troy, michigan, united states",united states
northwell health,northwell.edu,1997.0,hospital & health care,10001+,"lake success, new york, united states",united states
hyatt hotels corporation,hyatt.com,1957.0,hospitality,10001+,"chicago, illinois, united states",united states
"alcon, a novartis company",alcon.com,1945.0,pharmaceuticals,10001+,"fort worth, texas, united states",united states
bechtel corporation,bechtel.com,1898.0,construction,10001+,"san francisco, california, united states",united states
pacific gas and electric company,pge.com,,utilities,10001+,"san francisco, california, united states",united states
ingram micro,ingrammicro.com,1979.0,information technology and services,10001+,"irvine, california, united states",united states
nxp semiconductors,nxp.com,2006.0,semiconductors,10001+,"brabant, west virginia, united states",united states
emerson,,1890.0,mechanical or industrial engineering,10001+,"st. louis, missouri, united states",united states
dollar general,dollargeneral.com,1939.0,retail,10001+,"goodlettsville, tennessee, united states",united states
cornell university,cornell.edu,,higher education,10001+,"ithaca, new york, united states",united states
msd,msd.com,,pharmaceuticals,10001+,"kenilworth, new jersey, united states",united states
aurora health care,aurorahealthcare.org,,hospital & health care,10001+,"milwaukee, wisconsin, united states",united states
panera bread,panerapeople.com,1981.0,restaurants,10001+,"st. louis, missouri, united states",united states
massachusetts institute of technology (mit),mit.edu,1861.0,higher education,10001+,"cambridge, massachusetts, united states",united states
sutter health,sutterhealth.org,,hospital & health care,10001+,"sacramento, california, united states",united states
miami-dade county public schools,dadeschools.net,1885.0,education management,10001+,"miami, florida, united states",united states
citizens bank,citizensbank.com,1828.0,banking,10001+,"providence, rhode island, united states",united states
university of maryland,umd.edu,1856.0,higher education,10001+,"college park, maryland, united states",united states
"expedia, inc.",lifeatexpedia.com,1996.0,internet,10001+,"bellevue, washington, united states",united states
"kbr, inc.",kbr.com,1919.0,construction,10001+,"houston, texas, united states",united states
arbonne international llc,arbonne.com,1975.0,consumer goods,10001+,"irvine, california, united states",united states
undp,undp.org,1974.0,international affairs,10001+,"new york, new york, united states",united states
sitel,sitel.com,1985.0,outsourcing/offshoring,10001+,"nashville, tennessee, united states",united states
infor,infor.com,2003.0,computer software,10001+,"new york, new york, united states",united states
"university of california, san diego",ucsd.edu,1960.0,higher education,10001+,"la jolla, california, united states",united states
ucsf,ucsf.edu,1873.0,research,10001+,"san francisco, california, united states",united states
domino's pizza,dominos.com,1960.0,restaurants,10001+,"ann arbor, michigan, united states",united states
state farm agent,,1922.0,insurance,10001+,"bloomington, illinois, united states",united states
gartner,gartner.com,1979.0,information technology and services,10001+,"stamford, connecticut, united states",united states
parexel,parexel.com,1982.0,pharmaceuticals,10001+,"waltham, massachusetts, united states",united states
micron technology,micron.com,1978.0,semiconductors,10001+,"boise, idaho, united states",united states
ca technologies,ca.com,1976.0,computer software,10001+,"new york, new york, united states",united states
the estée lauder companies inc.,elcompanies.jobs,1946.0,cosmetics,10001+,"new york, new york, united states",united states
seagate technology,seagate.com,1979.0,computer hardware,10001+,"cupertino, california, united states",united states
ricoh americas corporation,ricoh-usa.com,1962.0,information technology and services,10001+,"malvern, pennsylvania, united states",united states
university of pittsburgh,pitt.edu,,higher education,10001+,"pittsburgh, pennsylvania, united states",united states
md anderson cancer center,cancerpreventiontraining.org,1944.0,hospital & health care,10001+,"houston, texas, united states",united states
sanmina,sanmina.com,1980.0,electrical/electronic manufacturing,10001+,"san jose, california, united states",united states
uc davis,ucdavis.edu,1908.0,higher education,10001+,"davis, california, united states",united states
atento,atento.com,1999.0,telecommunications,10001+,"madrid, madrid, spain",united states
rsm us llp,rsmus.com,1926.0,accounting,10001+,"chicago, illinois, united states",united states
state of michigan,michigan.gov,1837.0,government administration,10001+,"lansing, michigan, united states",united states
verizon business,verizonenterprise.com,1988.0,information technology and services,10001+,"basking ridge, new jersey, united states",united states
pratt & whitney,utc.com,1925.0,aviation & aerospace,10001+,"east hartford, connecticut, united states",united states
us air force reserve,afreserve.com,1948.0,military,10001+,"tinker afb, oklahoma, united states",united states
intermountain healthcare,,1975.0,hospital & health care,10001+,"murray, utah, united states",united states
the kraft heinz company,kraftheinzcompany.com,2015.0,food & beverages,10001+,"pittsburgh, pennsylvania, united states",united states
cb&i,cbi.com,1889.0,oil & energy,10001+,"the woodlands, texas, united states",united states
usda,usda.gov,1862.0,government administration,10001+,"washington, district of columbia, united states",united states
national institutes of health,nih.gov,1887.0,research,10001+,"bethesda, maryland, united states",united states
kindred healthcare,kindredhealthcare.com,1985.0,hospital & health care,10001+,"louisville, kentucky, united states",united states
home instead senior care,homeinstead.com,1994.0,individual & family services,10001+,"omaha, nebraska, united states",united states
tyson foods,tysonfoods.com,1935.0,food production,10001+,"springdale, arkansas, united states",united states
clark county school district,ccsd.net,1956.0,education management,10001+,"las vegas, nevada, united states",united states
meb,mebapts.com,1998.0,real estate,10001+,"tucson, arizona, united states",united states
concentrix,concentrix.com,1983.0,outsourcing/offshoring,10001+,"fremont, california, united states",united states
paychex,paychex.com,1971.0,human resources,10001+,"rochester, new york, united states",united states
union pacific railroad,up.com,1862.0,transportation/trucking/railroad,10001+,"omaha, nebraska, united states",united states
gap inc.,gapinc.com,1969.0,retail,10001+,"san francisco, california, united states",united states
sysco,sysco.com,1970.0,food & beverages,10001+,"houston, texas, united states",united states
grainger,grainger.com,1927.0,business supplies and equipment,10001+,"lake forest, illinois, united states",united states
colliers international,colliers.com,1976.0,commercial real estate,10001+,"seattle, washington, united states",united states
indiana university bloomington,iub.edu,1820.0,higher education,10001+,"bloomington, indiana, united states",united states
urs corporation,urs.com,,civil engineering,10001+,"san francisco, california, united states",united states
carolinas healthcare system,carolinashealthcare.org,1943.0,hospital & health care,10001+,"charlotte, north carolina, united states",united states
motorola solutions,motorolasolutions.com,1928.0,information technology and services,10001+,"schaumburg, illinois, united states",united states
petsmart,petsmart.com,1987.0,retail,10001+,"phoenix, arizona, united states",united states
memorial sloan kettering cancer center,mskcc.org,1884.0,hospital & health care,10001+,"new york, new york, united states",united states
zimmer biomet,zimmerbiomet.com,1927.0,medical devices,10001+,"warsaw, indiana, united states",united states
netapp,netapp.com,1992.0,information technology and services,10001+,"sunnyvale, california, united states",united states
university of illinois at chicago,uic.edu,1965.0,higher education,10001+,"chicago, illinois, united states",united states
avaya,avaya.com,2000.0,telecommunications,10001+,"santa clara, california, united states",united states
beaumont health system,beaumont.org,,hospital & health care,10001+,"royal oak, michigan, united states",united states
c.h. robinson,chrobinson.com,1905.0,logistics and supply chain,10001+,"eden prairie, minnesota, united states",united states
bnsf railway,bnsf.com,,transportation/trucking/railroad,10001+,"fort worth, texas, united states",united states
university of north carolina at chapel hill,unc.edu,,higher education,10001+,"chapel hill, north carolina, united states",united states
us foods,usfoods.com,,food & beverages,10001+,"rosemont, illinois, united states",united states
u.s. department of justice,usdoj.gov,,law practice,10001+,"washington, district of columbia, united states",united states
houston isd,houstonisd.org,1879.0,education management,10001+,"houston, texas, united states",united states
"the tjx companies, inc.",tjx.com,1956.0,retail,10001+,"framingham, massachusetts, united states",united states
northwestern university,northwestern.edu,1851.0,higher education,10001+,"evanston, illinois, united states",united states
harris corporation,harris.com,1895.0,defense & space,10001+,"melbourne, florida, united states",united states
utc aerospace systems,utcaerospacesystems.com,2012.0,aviation & aerospace,10001+,"charlotte, north carolina, united states",united states
express scripts,express-scripts.com,1986.0,hospital & health care,10001+,"st. louis, missouri, united states",united states
infineon technologies,infineon.com,1999.0,semiconductors,10001+,"neubiberg, bayern, germany",united states
caci international inc,caci.com,1962.0,information technology and services,10001+,"arlington, virginia, united states",united states
hertz,hertz.com,1918.0,"leisure, travel & tourism",10001+,"naples, florida, united states",united states
adt,adt.com,1874.0,security and investigations,10001+,"boca raton, florida, united states",united states
"the ritz-carlton hotel company, l.l.c.",ritzcarlton.com,1983.0,hospitality,10001+,"orlando, florida, united states",united states
robert half,roberthalf.com,1948.0,staffing and recruiting,10001+,"menlo park, california, united states",united states
nyu langone medical center,nyulangone.org,1841.0,hospital & health care,10001+,"new york, new york, united states",united states
mercy,mercy.net,1986.0,hospital & health care,10001+,"chesterfield, missouri, united states",united states
the university of arizona,arizona.edu,1890.0,higher education,10001+,"tucson, arizona, united states",united states
university of south florida,usf.edu,1956.0,higher education,10001+,"tampa, florida, united states",united states
colorado state university,colostate.edu,1870.0,higher education,10001+,"fort collins, colorado, united states",united states
cox communications,cox.com,1984.0,broadcast media,10001+,"atlanta, georgia, united states",united states
young living essential oils,youngliving.com,1993.0,"health, wellness and fitness",10001+,"lehi, utah, united states",united states
"royal caribbean cruises, ltd.",royalcaribbean.com,1968.0,"leisure, travel & tourism",10001+,"miami, florida, united states",united states
north carolina state university,ncsu.edu,1887.0,higher education,10001+,"raleigh, north carolina, united states",united states
diebold nixdorf,diebold.com,1859.0,financial services,10001+,"north canton, ohio, united states",united states
university of cincinnati,uc.edu,1819.0,higher education,10001+,"cincinnati, ohio, united states",united states
fda,fda.gov,1906.0,government administration,10001+,"silver spring, maryland, united states",united states
ust global,ust-global.com,1999.0,information technology and services,10001+,"aliso viejo, california, united states",united states
ge oil & gas,geoilandgas.com,,oil & energy,10001+,"houston, texas, united states",united states
deloitte consulting,,,management consulting,10001+,"new york, new york, united states",united states
ntt data services,nttdata.com,1965.0,information technology and services,10001+,"plano, texas, united states",united states
taco bell,tacobell.com,,restaurants,10001+,"irvine, california, united states",united states
georgia-pacific llc,gp.com,1927.0,paper & forest products,10001+,"atlanta, georgia, united states",united states
igate,igate.com,1978.0,information technology and services,10001+,"bridgewater, new jersey, united states",united states
"stanley black & decker, inc.",stanleyblackanddecker.com,1843.0,consumer goods,10001+,"new britain, connecticut, united states",united states
spectrum health,spectrumhealth.org,1997.0,hospital & health care,10001+,"grand rapids, michigan, united states",united states
arthur j. gallagher & co.,ajg.com,1927.0,insurance,10001+,"rolling meadows, illinois, united states",united states
new york-presbyterian hospital,,,hospital & health care,10001+,"new york, new york, united states",united states
raymond james,raymondjames.com,1962.0,financial services,10001+,"st. petersburg, florida, united states",united states
florida hospital,floridahospital.com,1908.0,hospital & health care,10001+,"orlando, florida, united states",united states
pra health sciences,prahs.com,1976.0,research,10001+,"raleigh, north carolina, united states",united states
it works global,itworks.com,2001.0,"health, wellness and fitness",10001+,"palmetto, florida, united states",united states
meijer,meijer.com,1934.0,retail,10001+,"grand rapids, michigan, united states",united states
labcorp,labcorp.com,,hospital & health care,10001+,"burlington, north carolina, united states",united states
ups supply chain solutions,ups-scs.com,1907.0,logistics and supply chain,10001+,"cobb, georgia, united states",united states
aricent,aricent.com,2006.0,outsourcing/offshoring,10001+,"redwood city, california, united states",united states
duke university,duke.edu,,higher education,10001+,"durham, north carolina, united states",united states
heb,heb.com,1905.0,retail,10001+,"san antonio, texas, united states",united states
parsons corporation,parsons.com,1944.0,civil engineering,10001+,"pasadena, california, united states",united states
keybank,key.com,1849.0,banking,10001+,"cleveland, ohio, united states",united states
experian,experian.com,1980.0,information services,10001+,"costa mesa, california, united states",united states
dominion,dominionenergy.com,,utilities,10001+,"richmond, virginia, united states",united states
dyncorp international,dyn-intl.com,1951.0,defense & space,10001+,"mclean, virginia, united states",united states
massmutual financial group,massmutual.com,1851.0,financial services,10001+,"springfield, massachusetts, united states",united states
cameron,c-a-m.com,1833.0,oil & energy,10001+,"houston, texas, united states",united states
dignity health,dignityhealth.org,,hospital & health care,10001+,"san francisco, california, united states",united states
ralph lauren,ralphlauren.com,1968.0,apparel & fashion,10001+,"new york, new york, united states",united states
"penn medicine, university of pennsylvania health system",pennmedicine.org,,hospital & health care,10001+,"philadelphia, pennsylvania, united states",united states
maxim healthcare services,maximhealthcare.com,1988.0,hospital & health care,10001+,"columbia, maryland, united states",united states
nerium international,nerium.com,2011.0,cosmetics,10001+,"addison, texas, united states",united states
red hat,redhat.com,1993.0,computer software,10001+,"raleigh, north carolina, united states",united states
georgia institute of technology,gatech.edu,1888.0,higher education,10001+,"atlanta, georgia, united states",united states
electronic arts (ea),ea.com,1982.0,entertainment,10001+,"redwood city, california, united states",united states
earthlink,earthlinkbusiness.com,1994.0,information technology and services,10001+,"atlanta, georgia, united states",united states
orange county public schools,ocps.net,,primary/secondary education,10001+,"orlando, florida, united states",united states
johns hopkins university,jhu.edu,1876.0,higher education,10001+,"baltimore, maryland, united states",united states
"ross stores, inc.",rossstores.com,1957.0,retail,10001+,"dublin, california, united states",united states
department of education,ed.gov,1980.0,government administration,10001+,"washington, district of columbia, united states",united states
pitney bowes,pitneybowes.com,1920.0,information technology and services,10001+,"stamford, connecticut, united states",united states
china mobile,chinamobileltd.com,1997.0,telecommunications,10001+,"los angeles, california, united states",united states
