handle,name,industry,size,state,founded,city
company/asurea,Asurea,insurance,201-500,California,1991,Roseville
company/asylum-marketing,Asylum Marketing,advertising services,51-200,Florida,2008,Miami
company/at-home-compassionate-care,At Home Compassionate Care,hospitals and health care,51-200,Louisiana,2014,Lake Charles
company/ata-software,ATA Software,software development,201-500,California,2017,Sunnyvale
company/athomekit,Kit.com,hospitals and health care,51-200,California,2020,San Francisco
company/atlasexcavating,"Atlas Excavating, Inc.",construction,51-200,Indiana,1980,West Lafayette
company/ats-automation-inc-,"ATS Automation, Inc",construction,201-500,Washington,1986,Renton
company/atsi_2,ATSI,aviation and aerospace component manufacturing,51-200,North Carolina,1999,Walkertown
company/attigosuite,Attigo Suite of Solutions,higher education,201-500,Wisconsin,1967,Madison
company/attollo-engineering,Attollo Engineering,defense and space manufacturing,51-200,California,2012,Camarillo
company/atwater,City of Atwater,government administration,51-200,California,1922,Atwater
company/aucta-pharmaceuticals,Aucta Pharmaceuticals Inc.,pharmaceutical manufacturing,51-200,New Jersey,2012,Piscataway
company/aultcare,AultCare,insurance,201-500,Ohio,1985,Canton
company/aumentum-tech,Aumentum Technologies,it services and it consulting,201-500,New York,1972,Niagara Falls
company/aura-edify-global-school,Aura Edify Global School,education management,51-200,Kerala,2011,Perinthalmanna
company/austin-symphony-orchestra,Austin Symphony Orchestra,performing arts,51-200,Texas,1911,Austin
company/automated-building-systems-inc.,"Automated Building Systems, Inc.",environmental services,51-200,Connecticut,1986,Glastonbury
company/automationhero,"Automation Hero, Inc",software development,51-200,California,2017,San Francisco
company/autotec-llc,AutoTec,"technology, information and internet",51-200,Alabama,1997,Birmingham
company/autumnleavesmemorycare,Autumn Leaves Memory Care,hospitals and health care,201-500,Texas,1999,Grapevine
company/av-business-solution-pvt-ltd,AV IT Business Solution Pvt. Ltd. | AVITBS,advertising services,51-200,Delaware State,2019,Middletown
company/ava-design-nyc,Ava Design NYC,retail apparel and fashion,51-200,New York,2013,New York
company/avaap,Avaap,it services and it consulting,201-500,Ohio,2006,Columbus
company/avcp-housing-authority,AVCP Regional Housing Authority,government administration,51-200,Alaska,1974,Bethel
company/avellinno-diamonds,Avellinno Diamonds,luxury goods & jewelry,10K+,New York,1999,New
company/aviationlawyersassociation,Aviation Lawyers Association,aviation & aerospace,201-500,Maryland,1984,Frederick
company/avila-traffic-safety,Avila Traffic Safety,construction,51-200,California,2009,Atascadero
company/aviz-networks,Aviz Networks,computer networking products,51-200,California,2019,San Jose
company/avsensors-inc,"AVsensors, Inc",semiconductor manufacturing,51-200,California,2014,San Jose
company/awi-architectural-woods-llc,"AWI - Architectural Woods, L.P.",wholesale building materials,51-200,Washington,1957,Tacoma
company/awkwardstyles,Awkward Styles,printing services,51-200,California,2014,Santa Fe Springs
company/axio-media,Axio Media,translation and localization,51-200,Delaware,2022,Dover
company/axion-business-technologies,"AXION, a Visual Edge Technology Company",it services and it consulting,51-200,Rhode Island,2004,Cranston
company/axon-es,AXON ENERGY SERVICES,oil and gas,51-200,Texas,2009,Houston
company/axonet-llc,Axonet,"technology, information and media",51-200,Illinois,2023,Chicago
company/ayers-saint-gross,Ayers Saint Gross,architecture and planning,51-200,Maryland,1912,Baltimore
company/aznahse,NAHSE Arizona Chapter,hospitals and health care,10K+,Arizona,1968,Phoenix
company/b&r-products-inc,B&R Products Inc,cosmetics,51-200,Florida,1977,Miami
company/b.c.-williams-bakery-service-inc,"B.C. WILLIAMS BAKERY SERVICE, INC",manufacturing,51-200,Texas,1985,Dallas
company/backbone-pet-enterprise,backbone pet enterprise,wholesale,51-200,California,2007,Garden Grove
company/bafar-international,Bafar International,food and beverage manufacturing,10K+,,1983,El Paso
company/bahakel-communications-ltd,Bahakel Communications LTD,media production,201-500,North Carolina,1953,Charlotte
company/bahrec,BAHREC - Bay Area Human Resource Executives Council,human resources,51-200,California,1980,Mountain View
company/bakerindustries-nonprofit,Baker Industries,outsourcing/offshoring,51-200,Pennsylvania,1980,Malvern
company/bal-harbour-shops,Bal Harbour Shops,real estate,51-200,Florida,1965,Bal Harbour
company/ball-chain-manufacturing-co.-inc.,"Ball Chain Mfg. Co., Inc.",machinery manufacturing,51-200,New York,1938,Mount Vernon
company/bamberger-polymers,Bamberger Polymers,plastics manufacturing,51-200,New York,1967,Jericho
company/bando-usa,"Bando USA, Inc. (KY)",motor vehicle manufacturing,51-200,Kentucky,1988,Bowling Green
company/bank-of-mauston,Bank of Mauston,banking,51-200,Wisconsin,1868,Mauston
company/bank-of-tennessee,Bank of Tennessee,banking,201-500,Tennessee,1974,Kingsport
company/bank-of-the-rockies,Bank of the Rockies,banking,51-200,Montana,1883,Helena
company/bankoflabor,Bank of Labor - Labor Division,banking,51-200,District of Columbia,1924,Washington
company/banner-associates-inc.,"Banner Associates, Inc.",civil engineering,51-200,South Dakota,1947,Brookings
company/bannerwitcoff,Banner Witcoff,law practice,201-500,Illinois,1920,Chicago
company/barnes-noble-publisher,Barnes & Noble Publisher,writing and editing,51-200,California,2017,Fresno
company/bass-associates,"Bass & Associates, P.C.",legal services,51-200,Arizona,1990,Tucson
company/bassler-energy-services,Bassler Energy Services,oil and gas,51-200,Texas,1982,Deanville
company/bauer-compressors-inc-,BAUER COMPRESSORS INC.,machinery manufacturing,201-500,Virginia,1976,Norfolk
company/bay-area-surgical-management-llc,BAY AREA SURGICAL MANAGEMENT LLC,medical practices,51-200,California,2010,Saratoga
company/bay-ltd-,Bay Ltd.,construction,1K-5K,Texas,1953,Corpus Christi
company/bay-valley-medical-group,Bay Valley Medical Group,medical practices,201-500,California,1954,Castro Valley
company/bayer-built-woodworks-inc,Bayer Built Woodworks,wholesale building materials,201-500,Minnesota,1983,Belgrade
company/bayotech,BayoTech Hydrogen,chemical manufacturing,51-200,New Mexico,2015,Albuquerque
company/bayouprocessingandstorage,Bayou Processing & Storage,mining,51-200,Texas,2004,Houston
company/bayside-coatings,Bayside Coatings,shipbuilding,51-200,Virginia,2020,Suffolk
company/bayview-services-inc,Bayview Services Inc.,construction,201-500,California,1993,Oakland
company/bbk-performance,BBK Performance,manufacturing,51-200,Florida,1988,Deland
company/bcclarkjewelers,BC Clark Jewelers,retail,51-200,Oklahoma,1892,Oklahoma City
company/bcg-gamma,BCG GAMMA,business consulting and services,1K-5K,Massachusetts,2015,Boston
company/bcg-glass-industry-inc,BCG Glass Industry Inc.,building structure and exterior contractors,51-200,New York,2017,New York
company/bcipeople,"Business Communications, Inc.",information technology & services,51-200,Mississippi,1993,Ridgeland
company/bdoilfield,Black Diamond Oilfield Services,oil and gas,51-200,Texas,2012,The Woodlands
company/be-the-match-biotherapies,Be The Match BioTherapies,biotechnology research,1K-5K,Minnesota,2016,Minneapolis
company/be-well-primary-health-care-center-llc,"BeWell Primary Healthcare Center, LLC",hospitals and health care,201-500,New York,2013,
company/beacon-hill-club,Beacon Hill Club,hospitality,51-200,New Jersey,1956,Summit
company/beacongrand,Beacon Grand,hospitality,201-500,California,1928,San Francisco
company/bearse-usa,Bearse USA,textile manufacturing,51-200,Illinois,1921,Chicago
company/beattie-development,Beattie Development,construction,51-200,Florida,2009,Cape Coral
company/beauport-hotel,Beauport Hotel Gloucester,hospitality,51-200,Massachusetts,2015,Gloucester
company/beautybyblondee,Beauty by Blondee,cosmetics,1K-5K,Florida,2010,Doral
company/beck-suppliers-inc.,"Beck Suppliers, Inc.",oil and gas,201-500,Ohio,1950,Fremont
company/becu,BECU,banking,1K-5K,Washington,1935,Tukwila
company/bell-shoals-baptist-academy,Bell Shoals Academy,education administration programs,51-200,Florida,1956,Brandon
company/bellasonic-beauty,Bellasonic Beauty,personal care product manufacturing,51-200,California,2016,Los Angeles
company/bellevue-country-club,Bellevue Country Club,travel arrangements,51-200,New York,1915,Syracuse
company/belmont-charter-network,Belmont Charter Network,education management,201-500,Pennsylvania,1998,Philadelphia
company/benchmark-construction-company,Benchmark Construction Company,construction,51-200,Pennsylvania,1985,Brownstown
company/benedict's-restaurant,Benedict's Restaurant,restaurants,51-200,Texas,1986,Addison
company/benewah-community-hospital,BENEWAH COMMUNITY HOSPITAL,medical practices,51-200,Idaho,1958,Saint Maries
company/bentley-service-learning-and-civic-engagement-center,Bentley Service-Learning and Civic Engagement Center,civic and social organizations,51-200,Massachusetts,1991,Waltham
company/berkeley-elq,Ecology Law Quarterly,environmental services,51-200,California,1971,Berkeley
company/berkshire-hathaway-travel-protection,Berkshire Hathaway Travel Protection,insurance,51-200,Wisconsin,2014,Stevens Point
company/beronio-lumber-co,Beronio Lumber Company,retail,51-200,California,1911,San Francisco
company/best-chevrolet,Best Chevrolet,motor vehicle manufacturing,51-200,Louisiana,1985,Kenner
company/best-of-home-care,BestofHomeCare.com,"health, wellness & fitness",51-200,Idaho,2013,Rexburg
company/bestchoicerealestate,Best Choice Real Estate,real estate,51-200,Massachusetts,1984,Easton
company/bestdrive-usa,BestDrive USA,motor vehicle manufacturing,201-500,South Carolina,2012,Fort Mill
company/bethel-hill-charter-school,BETHEL HILL CHARTER SCHOOL,individual and family services,51-200,North Carolina,2011,Raleigh
company/beyond-wealth-management-group,Beyond International Group,financial services,51-200,California,2019,Irvine
company/bhms,Barrow Hanley Global Investors,investment management,51-200,Texas,1979,Dallas
company/bhw-sheet-metal-company,Bhw Sheet Metal Company,construction,201-500,Georgia,1959,Jonesboro
company/bidfuture,BIDFUTURE,mobile gaming apps,51-200,Texas,2020,Spring
company/biewer-wisconsin-sawmill-inc.,"BIEWER-WISCONSIN SAWMILL, INC.","appliances, electrical, and electronics manufacturing",201-500,Wisconsin,1988,Prentice
company/big-brothers-big-sisters-of-orange-county,Big Brothers Big Sisters of Orange County & The Inland Empire,non-profit organizations,51-200,California,1958,Santa Ana
company/bigbendhospice,Big Bend Hospice,hospitals and health care,201-500,Florida,1983,Tallahassee
company/bigdiscount,Big Discount,"technology, information and internet",51-200,Texas,2012,Houston
company/bim-engineering-construction,BIM Engineering & Construction,civil engineering,201-500,California,2021,San Francisco
company/biotex-inc,Biotex Inc,medical device,51-200,Texas,1997,Houston
company/birds-barbershop,Birds Barbershop,individual and family services,51-200,Texas,2006,Austin
company/bismarck-motor-company,Bismarck Motor Company,motor vehicle manufacturing,51-200,North Dakota,2011,Bismarck
company/bixby-electric-inc-,"Bixby Electric, Inc.",construction,51-200,New Mexico,1988,Albuquerque
company/bizride,BizRide,hospitality,51-200,Iowa,1998,Marion
company/black-diamond-gymnastics-and-sports-center,Black Diamond Gymnastics and Sports Center,spectator sports,51-200,Utah,1999,Park City
company/blackfinn-ashburn-va,Blackfinn Ashburn VA,food and beverage services,51-200,Virginia,2016,Ashburn
company/blackhorsegolfclub,BlackHorse Golf Club,spectator sports,51-200,Texas,2001,Cypress
company/blackmennetwork,Black MEN Network - Intelligence Working Together,non-profit organizations,1K-5K,District of Columbia,2020,Washington
company/blake-international-rigs-llc,"Blake International Rigs, LLC",oil and gas,51-200,Louisiana,2008,Houma
company/blaqelite,BlaQ Elite,hospitality,51-200,New York,2008,New York
company/blastsourcing,Blast Sourcing,advertising services,51-200,,2017,Atlanta
company/blink-marketing-logistics,Blink Marketing Logistics,advertising services,51-200,Ohio,1992,Perrysburg
company/bliss-and-nyitray-inc,"Bliss & Nyitray, Inc.",civil engineering,51-200,Florida,1955,Miami
company/blockshopper.com,BlockShopper.com,information services,51-200,Missouri,2006,St. Louis
company/bloomhealthcenters,Bloom Health Centers,mental health care,51-200,Maryland,1998,Towson
company/blue-cross-of-idaho,Blue Cross of Idaho,insurance,1K-5K,Idaho,1945,Meridian
company/blue-hills-bank,Blue Hills Bank,financial services,1K-5K,Massachusetts,1907,Rockland
company/blue-ridge-camp,BLUE RIDGE CAMP,recreational facilities,51-200,Georgia,1969,Clayton
company/blue-skies-landscape-maintenance,Blue Skies Landscape Maintenance (acquired by Terracare Associates),environmental services,51-200,California,1978,San Diego
company/blueagileinc,BlueAgile,professional training and coaching,51-200,Florida,2005,Miami
company/blueconic,BlueConic,software development,51-200,Massachusetts,2010,Boston
company/bluemountainhospitaldistrict,Blue Mountain Hospital District,hospitals and health care,201-500,Oregon,1949,John Day
company/bmo-stadium,BMO Stadium,entertainment,51-200,California,2018,Los Angeles
company/bmw-of-rochester-hills,BMW of Rochester Hills,automotive,51-200,Michigan,1975,Shelby Township
company/bohr-electronics,Bohr Electronics,railroad equipment manufacturing,51-200,Tennessee,1957,Chattanooga
company/bookit-com,BookIt.com,travel arrangements,51-200,Florida,2004,Panama City Beach
company/boston-athenaeum,Boston Athenæum,libraries,51-200,Massachusetts,1807,Boston
company/bostonia-public-house,Bostonia Public House,restaurants,51-200,Massachusetts,2014,Boston
company/bottomlineconcepts,Bottom Line Concepts,financial services,201-500,Florida,2009,North Miami Beach
company/bouladab-group,BOULADAB Group,"transportation, logistics, supply chain and storage",201-500,Massachusetts,1954,
company/brainscale,BrainScale Inc,it services and it consulting,51-200,New Jersey Nj,2007,Princeton
company/brake-parts-inc,Brake Parts Inc LLC,motor vehicle manufacturing,5K-10K,Illinois,2013,Mchenry
company/brakesplus,Brakes Plus,vehicle repair and maintenance,1K-5K,Colorado,1990,Centennial
company/brandfolder-inc-,Brandfolder by Smartsheet,"technology, information and internet",51-200,Colorado,2012,Denver
company/branding-iron-ranch,Branding Iron Ranch,food and beverage manufacturing,51-200,California,2018,Coarsegold
company/brayn-consulting-llc,BRAYN Consulting LLC,business consulting and services,51-200,Nevada,2010,Las Vegas
company/brazos-trailer-manufacturing-llc,"Brazos Trailer Manufacturing, LLC",construction,51-200,Texas,2013,Wills Point
company/breckenridge-pharmaceutical,"Breckenridge Pharmaceutical, Inc.",pharmaceutical manufacturing,51-200,Connecticut,1982,Berlin
company/brewer-construction-company-of-eastern-oklahoma,Brewer Construction Company of Eastern Oklahoma,construction,51-200,Oklahoma,1967,Chouteau
company/brightstarcarehuntsville,BrightStar® Care of Huntsville,hospitals and health care,51-200,Alabama,2015,Huntsville
company/brightstarcareofnashville,BrightStar Care of TN - Nashville-Green Hills,hospitals and health care,201-500,Tennessee,2010,Nashville
company/bristol-steel-conveyor-corp,Bristol Steel & Conveyor Corp.,construction,51-200,Michigan,1979,Davison
company/broadband-telecom,Broadband Telecom,telecommunications,201-500,New York,2005,Kew Gardens
company/broadcastmed,BroadcastMed,broadcast media production and distribution,51-200,Connecticut,1994,Farmington
company/brodix-inc,Brodix Inc,motor vehicle manufacturing,51-200,Arkansas,1965,Mena
company/broekema-beltway-usa-inc,Broekema Beltway USA Inc,farming,51-200,Minnesota,1989,Pine City
company/brooklyn-navy-yard-development-corporation,Brooklyn Navy Yard Development Corporation,non-profit organizations,51-200,New York,1981,
company/bsasoftware,BS&A Software,software development,51-200,Michigan,1987,Bath
company/btpconsulting,BTP CONSULTING,civil engineering,51-200,Massachusetts,2016,Tetouan
company/btree-solutions-inc,BTree Solutions,it services and it consulting,201-500,Virginia,2012,Herndon
company/buckman,Buckman,chemical manufacturing,1K-5K,Tennessee,1945,Memphis
company/bufferapp,Buffer,"technology, information and internet",51-200,California,2010,San Francisco
company/build-america-mutual-assurance,Build America Mutual,financial services,51-200,New York,2012,New York
company/building-blocks-comprehensive-services-inc-,"Building Blocks Comprehensive Services, Inc.",individual and family services,51-200,New York,1995,Canandaigua
company/building-blocks-for-business,Building Blocks for Business,insurance,51-200,Nevada,2015,Las Vegas
company/burdick-plumbing-&-heating-company,Burdick Plumbing & Heating Company,construction,51-200,Illinois,1955,Decatur
company/burgess-steel,Burgess Steel,construction,51-200,New Jersey,1976,Englewood
company/burlington-edison-school-district,Burlington-Edison School District,primary and secondary education,201-500,,1920,Burlington
company/burningcastle-llc,BurningCastle LLC,defense and space manufacturing,51-200,Virginia,2005,Arlington
company/burton-logistics-solutions,Burton Logistics Solutions,"transportation, logistics, supply chain and storage",51-200,North Carolina,1983,Burlington
company/business-entrepreneurial-technology-advocates---βστδ,Business Entrepreneurial Technology Advocates - βΣΤΔ,non-profit organizations,5K-10K,Federal Capital Territory,2015,Wuse
company/business-fellows-program,High Point University Business Fellows Program,higher education,201-500,North Carolina,2018,High Point
company/business-intelligence-squared,"Business Intelligence Squared, LLC",business consulting and services,51-200,New Jersey,2015,Princeton
company/business-resource-council,Business Resource Council,executive offices,51-200,New Jersey,2007,Florham Park
company/bwd-sports-and-entertainment-llc,BWD SPORTS AND ENTERTAINMENT LLC,,51-200,New York,1999,Jericho
company/by-the-way-catering-company,By The Way Catering Company (BTW Catering Co.),food and beverage services,51-200,California,2014,Los Angeles
company/bycarls,"Carl's Fencing, Decking & Home Improvements",construction,51-200,New Jersey,1999,Toms River
company/c&c-wholesale-distributors,C&C Wholesale Distributors,wholesale,51-200,Texas,1975,Dallas
company/c&s-enterprise-inc.,CSE Electric,construction,51-200,Texas,1994,San Antonio
company/c-&-e-building-maintenance,C&E | Cleaning Elevated,facilities services,201-500,Florida,1983,Miami Beach
company/c3-consulting,c3/consulting,business consulting and services,51-200,Tennessee,2005,Nashville
company/cadient-talent,Cadient,software development,51-200,North Carolina,2019,Morrisville
company/cal-alumni-association,Cal Alumni Association | UC Berkeley,higher education,51-200,California,1872,Berkeley
company/cal-bay-systems,Cal-Bay Systems,"appliances, electrical, and electronics manufacturing",51-200,California,1992,San Rafael
company/calco-vape-insurance,Calco Vape Insurance,insurance,10K+,California,2006,Sherman Oaks
company/california-military-department,California Military Department,armed forces,10K+,California,1850,Sacramento
company/california-state-military-reserve-air-support-command,California State Guard - Air Component Command,armed forces,1K-5K,California,2003,W Sacramento
company/californiaqsr-management-inc,California QSR Management Inc.,food and beverage services,201-500,California,2019,Fresno
company/cambridge-city-volunteer-fire-department,CAMBRIDGE CITY VOLUNTEER FIRE DEPARTMENT,,51-200,Indiana,1836,Cambridge City
company/camden-services-inc,"Camden Services, Inc.",financial services,51-200,Texas,2011,Dallas
company/camelotsecure,Camelot Secure,computer and network security,51-200,Maryland,2022,Columbia
company/candsmoguls,C&S Moguls,business consulting and services,201-500,Georgia,2016,Atlanta
company/canonrecruiting,Canon Recruiting Group,staffing and recruiting,201-500,California,1980,Santa Clarita
company/canyon-professional-development,Canyon Professional Development,education,1K-5K,Arizona,2017,Phoenix
company/canyon-ventures,GCU's Canyon Ventures,venture capital and private equity principals,201-500,Arizona,2019,Phoenix
company/canyonlakepoa,Canyon Lake Property Owners Association,real estate,51-200,California,1968,Canyon Lake
company/capacity-path,Capacity Path,professional training and coaching,51-200,Florida,2017,Pensacola
company/capcoenergysolutions,Capco Energy Solutions,it services and it consulting,1K-5K,Texas,1998,Houston
company/cape-cod-collaborative,Cape Cod Collaborative,primary and secondary education,51-200,Massachusetts,1975,Osterville
company/cape-fear-seafood-company-of-raleigh,Cape Fear Seafood Company of Raleigh,hospitality,51-200,North Carolina,2019,Raleigh
company/capewell,Capewell,aviation & aerospace,201-500,Connecticut,1881,South Windsor
company/capitol-financial-solutions,Capitol Financial Solutions,financial services,51-200,North Carolina,2001,Raleigh
company/capitol-north-american,Capitol North American Moving Services,truck transportation,51-200,Nevada,1962,Las Vegas
company/carahsoft,Carahsoft,it services and it consulting,1K-5K,Virginia,2004,Reston
company/carbon,Carbon,manufacturing,201-500,California,2013,Redwood City
company/carbon-five,Carbon Five | A West Monroe Company,software development,51-200,California,2000,San Francisco
company/cardinal-construction-inc-,"Cardinal Construction, Inc.",construction,51-200,Iowa,1895,Waterloo
company/care-at-home-inc-,"Care at Home, Inc.",hospitals and health care,51-200,California,1997,Campbell
company/careacademy,CareAcademy,e-learning providers,51-200,Massachusetts,2016,Boston
company/carecentervets,Care Center Vets,veterinary services,201-500,Ohio,2000,Cincinnati
company/career-it-consulting-llc,Career IT Consulting LLC,it services and it consulting,51-200,California,2014,San Francisco
company/carepro-health-services,CarePro Health Services,hospitals and health care,51-200,Iowa,1971,Cedar Rapids
company/carlson-analytics-lab,Carlson Analytics Lab,information services,51-200,Minnesota,2015,Minneapolis
company/carlthorp-school,Carlthorp School,primary and secondary education,51-200,California,1939,Santa Monica
company/carmen-high-school-of-science-&-technology,Carmen Schools of Science and Technology,education,51-200,Wisconsin,2007,Milwaukee
company/carolina-value-village,Carolina Value Village,retail apparel and fashion,201-500,North Carolina,1990,Charlotte
