handle,name,industry,size,state,founded,city
company/activebatch-advanced-systems-concepts-inc,"ActiveBatch (Advanced Systems Concepts, Inc.)",software development,201-500,Texas,1981,Frisco
company/acuris-global,Acuris,financial services,1K-5K,New York,2000,New York
company/adam-std,ADAM STD (Solutions et Travaux Divers),construction,51-200,Massachusetts,2009,Kenitra
company/adams-electric-cooperative-inc.,"Adams Electric Cooperative, Inc.",utilities,51-200,Pennsylvania,1940,Gettysburg
company/adco-companies-ltd,"ADCO COMPANIES, LTD.",utilities,51-200,Alabama,1963,Bessemer
company/adco-manufacturing-inc-,ADCO Manufacturing,machinery manufacturing,51-200,California,1958,Sanger
company/addiction-treatment-care-center,Addiction Treatment Care Center,wellness and fitness services,51-200,Connecticut,2008,Stamford
company/aditazz-inc.,Aditazz Inc.,software development,51-200,California,2010,San Bruno
company/admiral-linen-and-uniform-service-inc-,Admiral Linen and Uniform Service by Alsco,retail office equipment,1K-5K,Texas,1948,Houston
company/adoreagency,Adore Agency LLC,advertising services,51-200,Minnesota,2004,Minnetonka
company/adra,Adra,software development,51-200,Texas,1989,Addison
company/adrenaline-monkey,Adrenaline Monkey,wellness and fitness services,51-200,Ohio,2017,Warrensville Heights
company/advance-central-services-pennsylvania,Advance Central Services Pennsylvania,media production,51-200,Pennsylvania,2013,Mechanicsburg
company/advance-publications-inc.,Advance Publications Inc.,media production,10K+,New York,1922,New York
company/advanced-home-health-of-tampa,Advanced Home Healthcare,hospitals and health care,51-200,Florida,2009,Tampa
company/advanced-management-strategies-group,AMSG,business consulting and services,51-200,District of Columbia,2008,Washington
company/advanced-manufacturing-technology-inc,"Advanced Manufacturing Technology, Inc","appliances, electrical, and electronics manufacturing",51-200,Virgina,2003,Lynchburg
company/advanced-physician-management-inc,"Advanced Physician Management, Inc",medical practices,201-500,California,1980,Garden Grove
company/advanced-rehab-&-sports-medicine-cottage-rehab-&-sports-medicine,Advanced Rehab & Sports Medicine,"physical, occupational and speech therapists",51-200,Illinois,1997,Bloomington
company/advancedemploymentservices,Advanced Employment Services,staffing and recruiting,201-500,Montana,1997,Billings
company/advocates-for-life-skills-and-opportunity,Advocates for Life Skills and Opportunity (ALSO),individual and family services,201-500,Oregon,1988,Portland
company/adxlabsinc,"ADX Labs, Inc.","technology, information and internet",201-500,Minnesota,2006,Minneapolis
company/ae-door-&-window,AE Door & Window Co.,building equipment contractors,51-200,Ohio,1980,Cincinnati
company/aeg-vision,AEG Vision,medical practices,1K-5K,Texas,2017,Dallas
company/aerlig-capital-llc,"Aerlig Capital, LLC",business consulting and services,51-200,Colorado,2008,Englewood
